Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,Manchester City,38,32,4,2,106,27,79,100,80.1,23,57.1,1.5
2,Manchester Utd,38,25,6,7,68,28,40,81,57,39.6,17.4,0.46
3,Tottenham,38,23,8,7,74,36,38,77,67,33.2,33.8,0.89
4,Liverpool,38,21,12,5,84,38,46,75,70.4,33.3,37.1,0.98
5,Chelsea,38,21,7,10,62,38,24,70,55.7,32.7,23,0.6
6,Arsenal,38,19,6,13,74,51,23,63,63.1,49.8,13.4,0.35
7,Burnley,38,14,12,12,36,39,-3,54,34.4,48.2,-13.7,-0.36
8,Everton,38,13,10,15,44,58,-14,49,39.6,50.3,-10.7,-0.28
9,Leicester City,38,12,11,15,56,60,-4,47,45.7,48.6,-2.8,-0.07
10,Newcastle Utd,38,12,8,18,39,47,-8,44,42.4,51.3,-8.9,-0.23
11,Crystal Palace,38,11,11,16,45,55,-10,44,53,47.4,5.6,0.15
12,Bournemouth,38,11,11,16,45,61,-16,44,42.7,58.6,-15.9,-0.42
13,West Ham,38,10,12,16,48,68,-20,42,37.3,57.8,-20.5,-0.54
14,Watford,38,11,8,19,44,64,-20,41,44.8,55.5,-10.7,-0.28
15,Brighton,38,9,13,16,34,54,-20,40,36.3,49.7,-13.4,-0.35
16,Huddersfield,38,9,10,19,28,58,-30,37,32.6,53.7,-21.1,-0.56
17,Southampton,38,7,15,16,37,56,-19,36,40.1,45.7,-5.5,-0.15
18,Swansea City,38,8,9,21,28,56,-28,33,30.3,58.4,-28.2,-0.74
19,Stoke City,38,7,12,19,35,68,-33,33,37.1,59.7,-22.6,-0.6
20,West Brom,38,6,13,19,31,56,-25,31,34.4,47.7,-13.3,-0.35
