Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,Manchester City,30,22,5,3,64,21,43,71,58.2,23.7,34.5,1.15
2,Manchester Utd,29,16,9,4,56,32,24,57,45.6,34.1,11.5,0.4
3,Leicester City,29,17,5,7,53,32,21,56,44.1,34.5,9.5,0.33
4,Chelsea,29,14,9,6,44,25,19,51,46,24.5,21.5,0.74
5,West Ham,28,14,6,8,42,32,10,48,38.1,32.1,6,0.21
6,Everton,28,14,4,10,40,37,3,46,33.5,38.8,-5.3,-0.19
7,Tottenham,28,13,6,9,47,30,17,45,37.5,33.2,4.3,0.15
8,Liverpool,28,12,7,9,47,36,11,43,50.7,34.8,15.9,0.57
9,Aston Villa,27,12,5,10,39,28,11,41,39.4,34.4,5,0.19
10,Arsenal,28,12,5,11,37,29,8,41,39.3,32.7,6.6,0.24
11,Crystal Palace,29,10,7,12,31,47,-16,37,23.3,42.7,-19.5,-0.67
12,Leeds United,28,11,3,14,43,46,-3,36,41.9,46.5,-4.6,-0.16
13,Wolves,28,9,8,11,28,37,-9,35,29.2,32.7,-3.5,-0.13
14,Southampton,29,9,6,14,36,51,-15,33,29.4,38.4,-9,-0.31
15,Burnley,29,8,9,12,22,37,-15,33,27,42.8,-15.8,-0.55
16,Brighton,28,6,11,11,29,36,-7,29,39.5,28.4,11.2,0.4
17,Newcastle Utd,28,7,7,14,28,45,-17,28,26.3,38.7,-12.4,-0.44
18,Fulham,29,5,11,13,22,36,-14,26,31.5,38.5,-7,-0.24
19,West Brom,29,3,9,17,20,57,-37,18,21,48.2,-27.2,-0.94
20,Sheffield Utd,29,4,2,23,16,50,-34,14,24.5,46.2,-21.7,-0.75
